,DK2_scaled
416,0.0011799150250946591
417,0.0012802008859614385
418,0.0013438305356148431
419,0.0013721872273082083
420,0.0013625044545348642
421,0.0013687290941748712
422,0.0013631960811615316
423,0.0013708039740548735
424,0.0014627903154016434
425,0.0015644594295217578
426,0.0015367943644550598
427,0.0014344336237082785
428,0.0013569714415215246
429,0.0012760511262014337
430,0.001209654970041359
431,0.0011384174274946125
432,0.0010720212713345378
433,0.0010180743944544772
434,0.0010000921021611237
435,0.0009883344495077771
436,0.0009869511962544422
437,0.001008391621681133
438,0.0010450478328945074
439,0.0011308095346012706
440,0.001215879609681366
441,0.0012988748048814594
442,0.0013583546947748596
443,0.0013894778929748946
444,0.001395010905988234
445,0.0013818700000815527
446,0.001379103493574883
447,0.0013998522923749062
448,0.0014766228479349923
449,0.0015921244945884554
450,0.001572758949041767
451,0.0014890721272150065
452,0.00138532813321489
453,0.0013037161912681314
454,0.0012138047298013636
455,0.0011149021221879194
456,0.001038131566627833
457,0.0009994004755344561
458,0.0009758851702277631
459,0.0009952507157744515
460,0.0010263739139744865
461,0.0010851621772412193
462,0.0012553023274014103
463,0.0014863056207083366
464,0.0015672259360284275
465,0.0015997323874817975
466,0.0015997323874817975
467,0.0016135649200151464
468,0.001617714679775151
469,0.0016038821472418021
470,0.0015976575076017952
471,0.0015561599100017485
472,0.0016087235336284741
473,0.0017131591542552582
474,0.0016605955306285324
475,0.0015679175626550949
476,0.001451032662748297
477,0.0013521300551348524
478,0.0012193377428147034
479,0.001105219349414575
480,0.0010194576477078122
481,0.0009675856507077538
482,0.000946145225281063
483,0.00095236986492107
484,0.0009572112513077421
485,0.0010298320471078238
486,0.0012172628629347011
487,0.0014275173574416038
488,0.0014987548999883507
489,0.0015188120721617065
490,0.001524345085175046
491,0.0015153539390283693
492,0.0015112041792683646
493,0.0015077460461350274
494,0.0014952967668550134
495,0.0014869972473350041
496,0.001555468283375081
497,0.001655062517615193
498,0.0016059570271218045
499,0.001514662312401702
500,0.0014019271722549085
501,0.0012898836587347826
502,0.0011937475576280078
503,0.0010761710310945424
504,0.001008391621681133
505,0.0009544447448010723
506,0.0009440703454010607
507,0.0009489117317877328
508,0.000977268423481098
509,0.0010485059660278447
510,0.0012304037688413824
511,0.0014434247698549552
512,0.001513279059148367
513,0.0015437106307217346
514,0.0015644594295217578
515,0.001555468283375081
516,0.001545785510601737
517,0.0015388692443350622
518,0.001524345085175046
519,0.0015201953254150413
520,0.0015720673224150995
521,0.0016889522223218975
522,0.001635005345441837
523,0.001543019004095067
524,0.0014344336237082785
525,0.0013362226427215014
526,0.0012352451552280546
527,0.0011321927878546055
528,0.001020840900961147
529,0.0009876428228811098
530,0.0009613610110677469
531,0.0009682772773344213
532,0.0009890260761344445
533,0.0010581887388011891
534,0.0012428530481213963
535,0.001462098688774976
536,0.0015257283384283809
537,0.0015865914815751158
538,0.001627397452548495
539,0.001611490040135144
540,0.0016038821472418021
541,0.001622556066161823
542,0.0016080319070018068
543,0.0015693008159084298
544,0.0016156397998951487
545,0.0017387493394419534
546,0.0016903354755752325
547,0.0015983491342284625
548,0.0014966800201083484
549,0.0014157597047882572
550,0.0012788176327081036
551,0.0011391090541212799
552,0.0010595719920545239
553,0.0010070083684277982
554,0.0010063167418011307
555,0.0009987088489077887
556,0.0010201492743344795
557,0.0010789375376012123
558,0.001248386061134736
559,0.0014413498899749529
560,0.0015112041792683646
561,0.0015312613514417205
562,0.001588666361455118
563,0.0016024988939884672
564,0.0015796752153084414
565,0.0015354111112017251
566,0.0015001381532416854
567,0.0014952967668550134
568,0.0015326446046950552
569,0.001666128543641872
570,0.0016377718519485066
571,0.0015167371922817042
572,0.0014040020521349109
573,0.0013175487238014803
574,0.00122832888896138
575,0.0011349592943612752
576,0.0010699463914545355
577,0.0010180743944544772
578,0.0009641275175744167
579,0.0009641275175744167
580,0.0009779600501077655
581,0.0010166911412011423
582,0.0010630301251878611
583,0.0011370341742412775
584,0.00122832888896138
585,0.0013327645095881642
586,0.0013929360261082317
587,0.0014275173574416038
588,0.0014268257308149364
589,0.0013991606657482386
590,0.0013687290941748712
591,0.001365270961041534
592,0.0014593321822683064
593,0.0016045737738684695
594,0.0015741422022951018
595,0.0014800809810683296
596,0.001402618798881576
597,0.0013459054154948454
598,0.0012829673924681082
599,0.001218646116188036
600,0.001148791826894624
601,0.0010574971121745215
602,0.0010270655406011539
603,0.0010090832483078006
604,0.0010180743944544772
605,0.0010837789239878843
606,0.0011356509209879426
607,0.0011591662262946357
608,0.0012269456357080454
609,0.0013120157107881407
610,0.0013874030130948923
611,0.0014150680781615898
612,0.0014192178379215945
613,0.001395010905988234
614,0.0014185262112949271
615,0.0014316671172016084
616,0.0014925302603483437
617,0.0015941993744684577
618,0.0015796752153084414
619,0.001514662312401702
620,0.001430975490574941
621,0.0013611212012815293
622,0.0012705181131880943
623,0.0011854480381079985
624,0.001125276521587931
625,0.00107409615121454
626,0.0010457394595211748
627,0.001047814339401177
628,0.001081704044107882
629,0.0011522499600279611
630,0.0013044078178947988
631,0.0015208869520417089
632,0.0015976575076017952
633,0.0015907412413351204
634,0.0016142565466418137
635,0.0016004240141084649
636,0.0015893579880817857
637,0.001572758949041767
638,0.0015395608709617298
639,0.0015125874325216996
640,0.0015499352703617416
641,0.0016875689690685628
642,0.0016619787838818673
643,0.0015603096697617532
644,0.0014413498899749529
